street,location_note,lat_cell,lon_cell,crashes,deaths,serious_injuries,first_year,last_year
W HAUSMAN RD,approximate half-mile map cell; raw count,29.57,-98.622,1,0,1,2025,2025
W HILDEBRAND AVE,approximate half-mile map cell; raw count,29.465,-98.514,1,0,1,2018,2018
W MAGNOLIA AVE,approximate half-mile map cell; raw count,29.45,-98.502,1,0,1,2019,2019
W MAYFIELD BLVD,approximate half-mile map cell; raw count,29.36,-98.544,1,0,1,2019,2019
W MAYFIELD BLVD,approximate half-mile map cell; raw count,29.36,-98.538,1,0,1,2017,2017
W OLMOS DR,approximate half-mile map cell; raw count,29.47,-98.508,1,0,1,2017,2017
W SOUTHCROSS BLVD,approximate half-mile map cell; raw count,29.365,-98.514,1,0,1,2020,2020
W WOODLAWN AVE,approximate half-mile map cell; raw count,29.45,-98.532,1,0,1,2020,2020
W WOODLAWN AVE,approximate half-mile map cell; raw count,29.455,-98.538,1,0,1,2018,2018
WHITMAN AVE,approximate half-mile map cell; raw count,29.36,-98.532,1,0,1,2018,2018
WILSON BLVD,approximate half-mile map cell; raw count,29.445,-98.544,1,0,1,2017,2017
