Crash ID,year,latitude,longitude,deaths,serious_injuries,radius_m,cluster
20046105,2024,29.56444097,-98.48247293,0,1,500,-1
20047884,2024,29.28304454,-98.3991035,0,1,500,-1
20073977,2024,29.43353641,-98.48730098,0,1,500,8
20121055,2024,29.52886495,-98.50050231,0,1,500,-1
20123688,2024,29.394747,-98.65807517,0,1,500,-1
20154176,2024,29.52050745,-98.50504964,0,1,500,-1
20198215,2024,29.44947264,-98.42342232,0,1,500,-1
20202028,2024,29.45993496,-98.49932231,0,1,500,-1
20258650,2024,29.4495974,-98.52437231,1,0,500,-1
20270302,2024,29.35385877,-98.42407344,1,0,500,-1
20298414,2024,29.43085497,-98.62579228,0,1,500,-1
20334599,2024,29.32321145,-98.43291037,1,0,500,-1
20340999,2024,29.51089606,-98.40697059,0,1,500,2
20341297,2024,29.3566011,-98.51759777,0,1,500,5
20364680,2024,29.49409637,-98.70474457,0,1,500,-1
20366218,2024,29.37335801,-98.51531817,0,1,500,-1
20368088,2024,29.44051363,-98.4806191,0,1,500,-1
20375061,2024,29.43092802,-98.56331164,1,0,500,9
20382379,2024,29.54736443,-98.37478225,0,1,500,-1
20389091,2024,29.48804996,-98.59686729,1,0,500,-1
20397058,2024,29.49893293,-98.56460433,0,1,500,-1
20407728,2024,29.32298807,-98.47818074,0,1,500,-1
20413497,2024,29.37302303,-98.48150108,0,1,500,-1
20439104,2024,29.34466499,-98.50387231,0,1,500,-1
20467405,2024,29.42646497,-98.48974231,0,1,500,4
20479259,2024,29.39884952,-98.51311581,0,1,500,-1
20492452,2024,29.42643497,-98.49315231,0,1,500,4
20502122,2024,29.47977418,-98.54125559,0,1,500,-1
20504324,2024,29.43980291,-98.52752969,0,1,500,-1
20558764,2024,29.34276701,-98.55330563,0,1,500,-1
